iter	Passed	Remaining
641	2571	1433
642	2574	1429
643	2577	1425
644	2581	1420
645	2586	1417
646	2589	1412
647	2594	1409
648	2598	1405
649	2602	1401
650	2607	1397
651	2611	1393
652	2616	1390
653	2619	1386
654	2624	1382
655	2628	1378
656	2632	1374
657	2635	1370
658	2640	1366
659	2644	1362
660	2647	1358
661	2651	1353
662	2655	1349
663	2659	1345
664	2662	1341
665	2666	1337
666	2670	1333
667	2673	1328
668	2677	1324
669	2681	1320
670	2684	1316
671	2688	1312
672	2691	1307
673	2695	1303
674	2698	1299
675	2702	1295
676	2706	1291
677	2710	1287
678	2714	1283
679	2717	1278
680	2721	1275
681	2725	1270
682	2730	1267
683	2734	1263
684	2738	1259
685	2741	1255
686	2749	1252
687	2757	1250
688	2761	1246
689	2766	1242
690	2770	1238
691	2776	1235
692	2779	1231
693	2784	1227
694	2789	1224
695	2793	1220
696	2797	1216
697	2803	1212
698	2808	1209
699	2814	1206
700	2818	1202
701	2822	1198
702	2828	1194
703	2833	1191
704	2838	1187
705	2843	1184
706	2847	1180
707	2853	1176
708	2857	1172
709	2861	1168
710	2866	1165
711	2870	1161
712	2874	1157
713	2878	1153
714	2884	1149
715	2889	1146
716	2893	1142
717	2897	1137
718	2901	1133
719	2904	1129
720	2908	1125
721	2911	1120
722	2916	1117
723	2919	1113
724	2923	1108
725	2926	1104
726	2930	1100
727	2933	1096
728	2936	1091
729	2940	1087
730	2943	1083
731	2948	1079
732	2951	1075
733	2955	1071
734	2958	1066
735	2963	1063
736	2966	1058
737	2970	1054
738	2973	1050
739	2976	1045
740	2980	1041
741	2983	1037
742	2987	1033
743	2990	1028
744	2995	1025
745	2998	1020
746	3001	1016
747	3004	1012
748	3010	1008
749	3014	1004
750	3019	1001
751	3022	996
752	3027	993
753	3031	988
754	3035	984
755	3039	980
756	3042	976
757	3046	972
758	3050	968
759	3054	964
760	3059	960
761	3063	956
762	3068	953
763	3071	948
764	3075	944
765	3078	940
766	3082	936
767	3087	932
768	3093	929
769	3097	925
770	3100	920
771	3104	916
772	3108	912
773	3112	908
774	3116	904
775	3120	900
776	3123	896
777	3127	892
778	3131	888
779	3135	884
780	3139	880
781	3142	876
782	3146	872
783	3150	867
784	3153	863
785	3157	859
786	3163	856
787	3166	851
788	3170	847
789	3174	843
790	3178	839
791	3183	836
792	3190	832
793	3194	828
794	3198	824
795	3204	821
796	3211	817
797	3217	814
798	3222	810
799	3227	806
800	3232	803
801	3237	799
802	3242	795
803	3247	791
804	3254	788
805	3259	784
806	3262	780
807	3267	776
808	3271	772
809	3275	768
810	3280	764
811	3284	760
812	3287	756
813	3291	752
814	3295	748
815	3299	743
816	3302	739
817	3306	735
818	3310	731
819	3314	727
820	3318	723
821	3322	719
822	3326	715
823	3329	711
824	3333	707
825	3337	703
826	3341	699
827	3345	694
828	3348	690
829	3351	686
830	3354	682
831	3358	678
832	3361	673
833	3364	669
834	3367	665
835	3370	661
836	3373	656
837	3376	652
838	3379	648
839	3382	644
840	3387	640
841	3391	636
842	3394	632
843	3397	627
844	3402	624
845	3407	620
846	3410	616
847	3415	612
848	3418	608
849	3422	604
850	3426	599
851	3430	595
852	3434	591
853	3438	587
854	3441	583
855	3449	580
856	3452	576
857	3455	571
858	3458	567
859	3463	563
860	3467	559
861	3470	555
862	3473	551
863	3476	547
864	3480	543
865	3483	538
866	3488	535
867	3491	531
868	3497	527
869	3501	523
870	3505	519
871	3509	515
872	3513	511
873	3516	507
874	3520	502
875	3523	498
876	3527	494
877	3531	490
878	3535	486
879	3538	482
880	3542	478
881	3546	474
882	3549	470
883	3553	466
884	3557	462
885	3560	458
886	3564	454
887	3568	450
888	3571	445
889	3575	441
890	3579	437
891	3582	433
892	3587	429
893	3591	425
894	3596	421
895	3600	417
896	3604	413
897	3608	409
898	3611	405
899	3615	401
900	3619	397
901	3623	393
902	3627	389
903	3630	385
904	3634	381
905	3640	377
906	3648	374
907	3653	370
908	3658	366
909	3663	362
910	3668	358
911	3673	354
912	3678	350
913	3756	353
914	3763	349
915	3771	345
916	3779	342
917	3820	341
918	3827	337
919	3836	333
920	3843	329
921	3856	326
922	3864	322
923	3869	318
924	3874	314
925	3878	309
926	3883	305
927	3899	302
928	3914	299
929	3926	295
930	3933	291
931	3937	287
932	3942	283
933	3945	278
934	3949	274
935	3952	270
936	3956	266
937	3959	261
938	3963	257
939	3966	253
940	3969	248
941	3972	244
942	3977	240
943	3980	236
944	3983	231
945	3986	227
946	3989	223
947	3992	219
948	3995	214
949	3998	210
950	4002	206
951	4006	201
952	4009	197
953	4013	193
954	4018	189
955	4022	185
956	4026	180
957	4030	176
958	4034	172
959	4037	168
960	4041	164
961	4045	159
962	4048	155
963	4052	151
964	4055	147
965	4059	142
966	4063	138
967	4067	134
968	4070	130
969	4074	126
970	4078	121
971	4082	117
972	4086	113
973	4090	109
974	4095	105
975	4099	100
976	4103	96
977	4108	92
978	4112	88
979	4116	84
980	4120	79
981	4125	75
982	4128	71
983	4132	67
984	4135	62
985	4140	58
986	4144	54
987	4147	50
988	4151	46
989	4155	41
990	4158	37
991	4163	33
992	4168	29
993	4173	25
994	4178	20
995	4184	16
996	4188	12
997	4193	8
998	4198	4
999	4203	0
